field,question
medical,mottled splotchy marks on back after painful episode - any insight?.
medical,Anyone see stars after coughing hard?.
medical,Could this be skin cancer? Hasn’t healed for over a year and has a lump underneath. Will bleed then scab occasionally.
medical,Can people undergoing chemotherapy and suffering hair loss still get goosebumps?.
medical,Recently high liver and pancreatic enzymes?!.
medical,Mastitis or something else help!.
medical,"Girlfriend (21) has recurrent rashes on hands, shoulders, elbows, low back and sometimes near v-line."
medical,Tongue bleeding.My tongue has been bleeding for months now. Sore and has bumps at side.
medical,Is it infected? It keeps making like an ear popping sensation maybe 20 times a day.
medical,It has just appeared for about 2 days. It hurts. Looks like heat mouth but I am really anxious.
medical,What is this bubble on my wrist when doing push-ups.
medical,"What’s wrong with my toes.I wear leather work boots about 12 hours a day at a construction job, itchy at times. Thinking it’s just athletes foot"
medical,Scraped hand on bottom of pool about a week ago. Is this infected or just healing?.
medical,This question took me 5 hours. Can someone answer?.
medical,Abnormal R wave progression early transition.
medical,How are these kinds of scars corrected?.
medical,How to fix a long period?.I tried to post this but it got removed. Any advice would be amazing
medical,"Which part of the body is the most useless?.i wanted to know this for a while but i didn't know where to ask, and google is mostly inaccurate for me."
medical,Can someone tell me what this is on my neck.
medical,What could this be on the back of my throat?.
medical,"Got bitten by a mosquito, swelling.25F
Yesterday I got bitten by a mosquito since then my hand swelled, feels hot, itchy and hurts to touch."
medical,Does anyone fit Experience with genericmedstore or allgenericsmedsnow?.They're are a Online Pharmacy Hope You Guys can give a Review!
medical,Bactrim and alcohol.Can I drink on it?
medical,Why is my big toe yellow? Should i be worried?.
medical,"I have my arm in a cast,can you guys give me some tips?."
medical,11 days into pneumonia but today first time coughing brown phlegm it spots of blood (just once) is this normal?.
medical,"I stubbed my toe this afternoon and the pain is unbearable.It’s blue and bruised, how can i alleviate this pain?"
medical,Weird growth under ear?.Wondering if anyone has a similar one and what it turned out to be. Doctor isn't sure.
medical,What is the difference between medical leeches and the leeches you see in your garden?.
medical,"I only have one line on my left palm while it splits into two lines on right Palm. I’ve always wondered, why is that?."
medical,Is there a medication for headaches that's better for you body then ibuprofen or Tylenol that actually works?.
medical,This bump has been behind my ear as long as I can remember. Same thing behind other ear. What are they?.
medical,I crashed my bike yesterday and I hurt my hip but now the upper part of my leg is a little numb.
medical,Any thoughts on what this is?.
medical,Is this what I'm afraid it might be?.
medical,"Awoke today with a strange thought, to clean the oven. Am I going insane?."
medical,What is this sore and am I gonna die?.
medical,What’s going on with my feet?? Description in comments.
medical,keep breaking out like this at work. any ideas of what this may be?.
medical,Does vitamin C affect Focalin the same way it does Adderall?.And if it does then can I just take vitamin C before bed or would it still affect it?
medical,TW! FRESH SH…ARE STITCHES NEEDED???:-(.do I need stitches for this??? it wont stop bleeding……
medical,Is magnesium glycinate supplements same as glycine supplements?.
medical,Can someone tell me what those bumps are.
medical,International Dental Surgery in Pakistan.
medical,"Spine CT scam.CT scan results, is there anything I can do to help this besides surgery?"
medical,why cant i take pills?.ive tried outting it in peanut butter and taking it with water but i cant take pills. help
medical,Why does my poo smell like weed? I’ve never smoked or consumed it in anyway.
medical,Does listen to binural beats of 100_104 hz for long time make damage my head I mean does do hemi sync for long time is danger instead of useful?.?
