rouge-1,rouge-2,rouge-l,dot,cosine,euclidean,manhattan,loop,refer,mode,model_name,task,language
"{'r': 0.49477992315390223, 'p': 0.4033279317689535, 'f': 0.43032901757395287}","{'r': 0.2185511363974167, 'p': 0.17203934935034026, 'f': 0.18515780904925158}","{'r': 0.4453988459635269, 'p': 0.3675620674891473, 'f': 0.3878643283454677}",0.7877734303474426,0.7877734303474426,-0.6215672492980957,-9.664580345153809,1,n-1,q,glm,financial,zh
"{'r': 0.49477992315390223, 'p': 0.4033279317689535, 'f': 0.43032901757395287}","{'r': 0.2185511363974167, 'p': 0.17203934935034026, 'f': 0.18515780904925158}","{'r': 0.4453988459635269, 'p': 0.3675620674891473, 'f': 0.3878643283454677}",0.7877734303474426,0.7877734303474426,-0.6215672492980957,-9.664580345153809,1,0,q,glm,financial,zh
"{'r': 0.537596217529363, 'p': 0.48858485510644456, 'f': 0.503585268666872}","{'r': 0.27774848729132057, 'p': 0.24546145281546283, 'f': 0.25445608169659795}","{'r': 0.41308611593791383, 'p': 0.34797621133324824, 'f': 0.36510646882543046}",0.8347089886665344,0.8347089886665344,-0.5584022998809814,-8.685599327087402,1,n-1,a,glm,financial,zh
"{'r': 0.537596217529363, 'p': 0.48858485510644456, 'f': 0.503585268666872}","{'r': 0.27774848729132057, 'p': 0.24546145281546283, 'f': 0.25445608169659795}","{'r': 0.41308611593791383, 'p': 0.34797621133324824, 'f': 0.36510646882543046}",0.8347089886665344,0.8347089886665344,-0.5584022998809814,-8.685599327087402,1,0,a,glm,financial,zh
"{'r': 0.7870422648215218, 'p': 0.8062299133563376, 'f': 0.7859127968372474}","{'r': 0.595172851426329, 'p': 0.60944600486373, 'f': 0.5930779694303042}","{'r': 0.7506663712557973, 'p': 0.7683809409045531, 'f': 0.7475877943658799}",0.9233443737030029,0.9233444333076477,-0.29607123136520386,-4.596555233001709,2,n-1,q,glm,financial,zh
"{'r': 0.44466440077638236, 'p': 0.365512595306311, 'f': 0.3876001553678648}","{'r': 0.1782666871275031, 'p': 0.13784261008169693, 'f': 0.14979816463404205}","{'r': 0.3959477445016356, 'p': 0.3278908361866516, 'f': 0.3450274135842883}",0.7714475393295288,0.7714475393295288,-0.6465685963630676,-10.061681747436523,2,0,q,glm,financial,zh
"{'r': 0.5680336506528741, 'p': 0.5522163949739789, 'f': 0.5544047133343889}","{'r': 0.32258986799370726, 'p': 0.31394452964486286, 'f': 0.31382338829601525}","{'r': 0.44554900771084927, 'p': 0.42601727556503577, 'f': 0.4269611645286781}",0.8570225834846497,0.8570225834846497,-0.5184291005134583,-8.072786331176758,2,n-1,a,glm,financial,zh
"{'r': 0.5274249905030962, 'p': 0.46568895428825696, 'f': 0.4856783874166811}","{'r': 0.2680554138313823, 'p': 0.2299414726953245, 'f': 0.2413909539321134}","{'r': 0.40986539554849716, 'p': 0.3304121807500365, 'f': 0.35304806895967294}",0.8190435767173767,0.8190435767173767,-0.5830792188644409,-9.064362525939941,2,0,a,glm,financial,zh
"{'r': 0.8557973039121178, 'p': 0.8570842855458952, 'f': 0.8489146683623392}","{'r': 0.7213547147692344, 'p': 0.7196369035400673, 'f': 0.7129835306605639}","{'r': 0.8327866024555796, 'p': 0.8343829974059271, 'f': 0.8246790402838771}",0.9457002878189087,0.9457002878189087,-0.22538378834724426,-3.5068719387054443,3,n-1,q,glm,financial,zh
"{'r': 0.4179301019482752, 'p': 0.34645165748424317, 'f': 0.36508728056260115}","{'r': 0.15955626533133963, 'p': 0.12456964727141082, 'f': 0.13469912716711516}","{'r': 0.37244244772926405, 'p': 0.3115419778627282, 'f': 0.32578939527693307}",0.7594707608222961,0.7594708204269409,-0.6640706658363342,-10.324578285217285,3,0,q,glm,financial,zh
