rouge-1,rouge-2,rouge-l,dot,cosine,euclidean,manhattan,loop,refer,mode,model_name,task,language
"{'r': 0.39370080536069757, 'p': 0.3668666283198837, 'f': 0.36401112634806654}","{'r': 0.1613631146687274, 'p': 0.14703627406251063, 'f': 0.14649713548727494}","{'r': 0.34459866406964235, 'p': 0.32679597325596177, 'f': 0.3192011904351074}",0.7386217713356018,0.7386217713356018,-0.6852933764457703,-10.656344413757324,1,n-1,q,llama,financial,zh
"{'r': 0.39370080536069757, 'p': 0.3668666283198837, 'f': 0.36401112634806654}","{'r': 0.1613631146687274, 'p': 0.14703627406251063, 'f': 0.14649713548727494}","{'r': 0.34459866406964235, 'p': 0.32679597325596177, 'f': 0.3192011904351074}",0.7386217713356018,0.7386217713356018,-0.6852933764457703,-10.656344413757324,1,0,q,llama,financial,zh
"{'r': 0.4609715130550513, 'p': 0.43817016993877683, 'f': 0.418634484055891}","{'r': 0.21050166474375512, 'p': 0.20659886829052437, 'f': 0.1920558321889998}","{'r': 0.35744591958632327, 'p': 0.32547113095545344, 'f': 0.30065757843112373}",0.7477111220359802,0.7477111220359802,-0.6787222623825073,-10.546317100524902,1,n-1,a,llama,financial,zh
"{'r': 0.4609715130550513, 'p': 0.43817016993877683, 'f': 0.418634484055891}","{'r': 0.21050166474375512, 'p': 0.20659886829052437, 'f': 0.1920558321889998}","{'r': 0.35744591958632327, 'p': 0.32547113095545344, 'f': 0.30065757843112373}",0.7477111220359802,0.7477111220359802,-0.6787222623825073,-10.546317100524902,1,0,a,llama,financial,zh
"{'r': 0.6573287263115425, 'p': 0.6765044711631165, 'f': 0.649658404485231}","{'r': 0.4513490664395374, 'p': 0.462315461388134, 'f': 0.445300470209613}","{'r': 0.6198951092690833, 'p': 0.6355718261437378, 'f': 0.608170833641846}",0.8321210741996765,0.8321210741996765,-0.46524131298065186,-7.222805023193359,2,n-1,q,llama,financial,zh
"{'r': 0.3299742788328626, 'p': 0.3184288241886692, 'f': 0.30966332711132666}","{'r': 0.1193252864094544, 'p': 0.11299223769252098, 'f': 0.11058520056320079}","{'r': 0.2869050038881539, 'p': 0.2817595071168148, 'f': 0.26905677726430155}",0.6967016458511353,0.6967016458511353,-0.7400897145271301,-11.500040054321289,2,0,q,llama,financial,zh
"{'r': 0.48942609643601154, 'p': 0.47464320107198893, 'f': 0.4515557165454782}","{'r': 0.25153960060933844, 'p': 0.24025651124777855, 'f': 0.22857184754853055}","{'r': 0.3906406391973696, 'p': 0.36462096743317746, 'f': 0.3375048695002837}",0.7596620917320251,0.7596622109413147,-0.6566864848136902,-10.197267532348633,2,n-1,a,llama,financial,zh
"{'r': 0.41905311050481925, 'p': 0.3900740762780363, 'f': 0.3706668038284845}","{'r': 0.1742063818921995, 'p': 0.16541458294596376, 'f': 0.15531309979905222}","{'r': 0.3225183442485985, 'p': 0.2855124823878537, 'f': 0.25898692698349024}",0.7045475244522095,0.7045475244522095,-0.7343294024467468,-11.40326976776123,2,0,a,llama,financial,zh
"{'r': 0.6653441563461603, 'p': 0.6780506521223357, 'f': 0.654573966550131}","{'r': 0.46373332575405907, 'p': 0.4764117346332498, 'f': 0.4591307504307346}","{'r': 0.6307809637718373, 'p': 0.6434241744349091, 'f': 0.6180423347226005}",0.8318615555763245,0.8318616151809692,-0.45182642340660095,-7.022150993347168,3,n-1,q,llama,financial,zh
"{'r': 0.28170741094075774, 'p': 0.2741513679253559, 'f': 0.2656029968953037}","{'r': 0.08730101615027737, 'p': 0.08178471705748744, 'f': 0.08085623529289347}","{'r': 0.24301632299528547, 'p': 0.2409003618440551, 'f': 0.22913513944331168}",0.675075888633728,0.675075888633728,-0.7729909420013428,-12.026588439941406,3,0,q,llama,financial,zh
"{'r': 0.4946096892456569, 'p': 0.472664394773863, 'f': 0.45549752951253636}","{'r': 0.2613064231082626, 'p': 0.24915437327339116, 'f': 0.23754270232474084}","{'r': 0.39924927403758, 'p': 0.37209572219328113, 'f': 0.3484541392328064}",0.7553762197494507,0.7553762197494507,-0.6624537110328674,-10.295287132263184,3,n-1,a,llama,financial,zh
"{'r': 0.4012260121419997, 'p': 0.3650333157789327, 'f': 0.34502972070168386}","{'r': 0.16061640808339095, 'p': 0.14412715929699058, 'f': 0.13700531984135395}","{'r': 0.3046367276995646, 'p': 0.26165132128295054, 'f': 0.23485034029729504}",0.6698217988014221,0.6698217988014221,-0.7764319777488708,-12.056689262390137,3,0,a,llama,financial,zh
"{'r': 0.6680314059547603, 'p': 0.6735899469085052, 'f': 0.6521537894176449}","{'r': 0.4820392978078816, 'p': 0.49335522591284736, 'f': 0.47684743887807735}","{'r': 0.6410265062664992, 'p': 0.6452978419710976, 'f': 0.6221928993464951}",0.8267398476600647,0.8267398476600647,-0.4530390202999115,-7.040602207183838,4,n-1,q,llama,financial,zh
"{'r': 0.24942919557555554, 'p': 0.2454020889011007, 'f': 0.23617822131530739}","{'r': 0.0681741260965769, 'p': 0.06282005591992332, 'f': 0.06271162510520023}","{'r': 0.21425914359933293, 'p': 0.215662614694155, 'f': 0.2034661930117321}",0.6501685976982117,0.6501685976982117,-0.8027244210243225,-12.474949836730957,4,0,q,llama,financial,zh
"{'r': 0.504199831112326, 'p': 0.48198052706100375, 'f': 0.46454948055130696}","{'r': 0.2611614861579103, 'p': 0.2513411537015822, 'f': 0.24078263827208787}","{'r': 0.4014862622934908, 'p': 0.3800019690799865, 'f': 0.3552684399528892}",0.755892276763916,0.755892276763916,-0.6558616161346436,-10.188260078430176,4,n-1,a,llama,financial,zh
"{'r': 0.37497986064876704, 'p': 0.3363128118733442, 'f': 0.31819008846079216}","{'r': 0.14036974667662472, 'p': 0.12306230148716575, 'f': 0.1190451793977634}","{'r': 0.2875211162626966, 'p': 0.2448317349896307, 'f': 0.21719724523470557}",0.6407598257064819,0.6407598257064819,-0.8103024959564209,-12.566144943237305,4,0,a,llama,financial,zh
