rouge-1,rouge-2,rouge-l,dot,cosine,euclidean,manhattan,loop,refer,mode,model_name,task,language
"{'r': 0.3043464130427974, 'p': 0.34727250779175983, 'f': 0.29699540308507516}","{'r': 0.11817992603919178, 'p': 0.1248585872909604, 'f': 0.11165382221257233}","{'r': 0.26474581008860504, 'p': 0.309158942186869, 'f': 0.2565723747403838}",0.6526805758476257,0.6526805758476257,-0.7983679175376892,-12.409589767456055,1,n-1,q,llama,legal,zh
"{'r': 0.3043464130427974, 'p': 0.34727250779175983, 'f': 0.29699540308507516}","{'r': 0.11817992603919178, 'p': 0.1248585872909604, 'f': 0.11165382221257233}","{'r': 0.26474581008860504, 'p': 0.309158942186869, 'f': 0.2565723747403838}",0.6526805758476257,0.6526805758476257,-0.7983679175376892,-12.409589767456055,1,0,q,llama,legal,zh
"{'r': 0.40200408301242685, 'p': 0.4141685265038971, 'f': 0.37452269780235775}","{'r': 0.17642005380523018, 'p': 0.18272230583816487, 'f': 0.15976051129365684}","{'r': 0.3075678829120085, 'p': 0.3061171534952752, 'f': 0.2620668518407705}",0.7138161063194275,0.7138161063194275,-0.7290056943893433,-11.319747924804688,1,n-1,a,llama,legal,zh
"{'r': 0.40200408301242685, 'p': 0.4141685265038971, 'f': 0.37452269780235775}","{'r': 0.17642005380523018, 'p': 0.18272230583816487, 'f': 0.15976051129365684}","{'r': 0.3075678829120085, 'p': 0.3061171534952752, 'f': 0.2620668518407705}",0.7138161063194275,0.7138161063194275,-0.7290056943893433,-11.319747924804688,1,0,a,llama,legal,zh
"{'r': 0.5413381996250278, 'p': 0.5598054983910047, 'f': 0.5259558890389621}","{'r': 0.33445746481850425, 'p': 0.3490599806927092, 'f': 0.3248962848957056}","{'r': 0.5051897158096789, 'p': 0.5195199083172278, 'f': 0.48421292982497727}",0.7483471035957336,0.7483471035957336,-0.6078051924705505,-9.440954208374023,2,n-1,q,llama,legal,zh
"{'r': 0.2256618651258972, 'p': 0.2721904925008168, 'f': 0.2204671861818594}","{'r': 0.07334980713808588, 'p': 0.0785151859852039, 'f': 0.06881920767459457}","{'r': 0.19953481175719856, 'p': 0.24466141730024948, 'f': 0.1913811993301731}",0.6005637645721436,0.6005637645721436,-0.8655549883842468,-13.468451499938965,2,0,q,llama,legal,zh
"{'r': 0.44050938477524004, 'p': 0.4433830858676471, 'f': 0.40886522856917945}","{'r': 0.21962654666625261, 'p': 0.22065607871650023, 'f': 0.19982824753872303}","{'r': 0.3475463954475435, 'p': 0.34621560896091946, 'f': 0.30235346214287145}",0.7159913182258606,0.7159913778305054,-0.7134659886360168,-11.077644348144531,2,n-1,a,llama,legal,zh
"{'r': 0.35042573101797325, 'p': 0.37305659136349245, 'f': 0.33028264732059104}","{'r': 0.1428252713140287, 'p': 0.14538518286408644, 'f': 0.13118713049945716}","{'r': 0.2712961682148592, 'p': 0.2791062907056606, 'f': 0.23404859733238487}",0.664332926273346,0.664332926273346,-0.7867217659950256,-12.204560279846191,2,0,a,llama,legal,zh
"{'r': 0.5726844834861353, 'p': 0.6013312714123419, 'f': 0.5634898231715787}","{'r': 0.38041878500166537, 'p': 0.39931741390630165, 'f': 0.3738604700335103}","{'r': 0.5375585318779628, 'p': 0.565729615940218, 'f': 0.524424665573889}",0.7672044634819031,0.7672044634819031,-0.5671145915985107,-8.804215431213379,3,n-1,q,llama,legal,zh
"{'r': 0.19612666198322545, 'p': 0.2467027956559275, 'f': 0.1942467886231056}","{'r': 0.05967356393619007, 'p': 0.069860933435594, 'f': 0.05789919335708876}","{'r': 0.17136165341153828, 'p': 0.2190866926493418, 'f': 0.16669901557214478}",0.5827614068984985,0.5827614068984985,-0.8863478302955627,-13.789340019226074,3,0,q,llama,legal,zh
