rouge-1,rouge-2,rouge-l,dot,cosine,euclidean,manhattan,loop,refer,mode,model_name,task,language
"{'r': 0.39574655170852907, 'p': 0.27992749796854705, 'f': 0.31573652245342726}","{'r': 0.13252903080469408, 'p': 0.09211753648857418, 'f': 0.1039009161247783}","{'r': 0.3508772653657692, 'p': 0.2496554886774437, 'f': 0.2789117996801063}",0.7398309111595154,0.7398309111595154,-0.6907575726509094,-10.72891616821289,1,n-1,q,qwen,financial,zh
"{'r': 0.39574655170852907, 'p': 0.27992749796854705, 'f': 0.31573652245342726}","{'r': 0.13252903080469408, 'p': 0.09211753648857418, 'f': 0.1039009161247783}","{'r': 0.3508772653657692, 'p': 0.2496554886774437, 'f': 0.2789117996801063}",0.7398309111595154,0.7398309111595154,-0.6907575726509094,-10.72891616821289,1,0,q,qwen,financial,zh
"{'r': 0.548394865638645, 'p': 0.441832179639427, 'f': 0.4769286158051085}","{'r': 0.2446927380358921, 'p': 0.19041785218732274, 'f': 0.20709944972824362}","{'r': 0.3780164757506182, 'p': 0.2792890909408975, 'f': 0.30652313023382544}",0.8018147349357605,0.8018147349357605,-0.6104326248168945,-9.49789047241211,1,n-1,a,qwen,financial,zh
"{'r': 0.548394865638645, 'p': 0.441832179639427, 'f': 0.4769286158051085}","{'r': 0.2446927380358921, 'p': 0.19041785218732274, 'f': 0.20709944972824362}","{'r': 0.3780164757506182, 'p': 0.2792890909408975, 'f': 0.30652313023382544}",0.8018147349357605,0.8018147349357605,-0.6104326248168945,-9.49789047241211,1,0,a,qwen,financial,zh
"{'r': 0.7043401439403179, 'p': 0.6884824100865956, 'f': 0.6792730951329727}","{'r': 0.5252948138527245, 'p': 0.5164153791129565, 'f': 0.5071108362621136}","{'r': 0.6658541897979428, 'p': 0.6509817315321471, 'f': 0.639126800597248}",0.8590378761291504,0.8590379357337952,-0.42635267972946167,-6.626230716705322,2,n-1,q,qwen,financial,zh
"{'r': 0.34111818194207794, 'p': 0.23122942459647572, 'f': 0.2630939842743174}","{'r': 0.10649838464939854, 'p': 0.07008500633694151, 'f': 0.07977441624413133}","{'r': 0.3051677523698542, 'p': 0.20604979044247757, 'f': 0.23276466138907692}",0.7028862237930298,0.7028862237930298,-0.741650402545929,-11.519798278808594,2,0,q,qwen,financial,zh
"{'r': 0.5598931788571648, 'p': 0.5227457618746847, 'f': 0.53307377672674}","{'r': 0.2773936073556018, 'p': 0.2576727366248816, 'f': 0.26252816710799914}","{'r': 0.3952536562308512, 'p': 0.36480043446220484, 'f': 0.3699035242682654}",0.8304890394210815,0.8304890394210815,-0.5640966296195984,-8.77668571472168,2,n-1,a,qwen,financial,zh
"{'r': 0.526342293693449, 'p': 0.39967453749136633, 'f': 0.43983236830401273}","{'r': 0.22118497597765377, 'p': 0.16243772593773648, 'f': 0.18017627526577026}","{'r': 0.36260661193813215, 'p': 0.2509950504383884, 'f': 0.2792519239602942}",0.7714487910270691,0.7714487910270691,-0.6538469195365906,-10.172567367553711,2,0,a,qwen,financial,zh
"{'r': 0.7319736458232478, 'p': 0.7373493885445676, 'f': 0.7166961311298461}","{'r': 0.5954356974347756, 'p': 0.5970844065677934, 'f': 0.5842016291868873}","{'r': 0.7034808576844848, 'p': 0.7090073990509521, 'f': 0.6868415183751265}",0.8728798031806946,0.8728798031806946,-0.3756129741668701,-5.841277122497559,3,n-1,q,qwen,financial,zh
"{'r': 0.3056506114215184, 'p': 0.213027608678428, 'f': 0.23793677665395177}","{'r': 0.08834351678200578, 'p': 0.06015738888141655, 'f': 0.06703987897834407}","{'r': 0.27360078820695094, 'p': 0.19023765095963735, 'f': 0.2109042131068764}",0.6845919489860535,0.6845919489860535,-0.7645753026008606,-11.877655029296875,3,0,q,qwen,financial,zh
