rouge-1,rouge-2,rouge-l,dot,cosine,euclidean,manhattan,loop,refer,mode,model_name,task,language
"{'r': 0.19827683980130212, 'p': 0.2989765235764826, 'f': 0.2244522873039908}","{'r': 0.054218706603762525, 'p': 0.08584006840555362, 'f': 0.061311532251187364}","{'r': 0.1475312849467983, 'p': 0.2518174814163958, 'f': 0.1730353006272471}",0.6198412179946899,0.6198412775993347,-0.8568287491798401,-13.307941436767578,1,n-1,q,qwen,medical,zh
"{'r': 0.19827683980130212, 'p': 0.2989765235764826, 'f': 0.2244522873039908}","{'r': 0.054218706603762525, 'p': 0.08584006840555362, 'f': 0.061311532251187364}","{'r': 0.1475312849467983, 'p': 0.2518174814163958, 'f': 0.1730353006272471}",0.6198412179946899,0.6198412775993347,-0.8568287491798401,-13.307941436767578,1,0,q,qwen,medical,zh
"{'r': 0.5042493943163585, 'p': 0.46696036311011774, 'f': 0.4781488924175261}","{'r': 0.21885914011815905, 'p': 0.1955185405806597, 'f': 0.20374499730735438}","{'r': 0.3297776942015622, 'p': 0.2851251587822282, 'f': 0.2983599117930864}",0.7851848006248474,0.7851848006248474,-0.6365466117858887,-9.908833503723145,1,n-1,a,qwen,medical,zh
"{'r': 0.5042493943163585, 'p': 0.46696036311011774, 'f': 0.4781488924175261}","{'r': 0.21885914011815905, 'p': 0.1955185405806597, 'f': 0.20374499730735438}","{'r': 0.3297776942015622, 'p': 0.2851251587822282, 'f': 0.2983599117930864}",0.7851848006248474,0.7851848006248474,-0.6365466117858887,-9.908833503723145,1,0,a,qwen,medical,zh
"{'r': 0.4891222998716256, 'p': 0.5207293536082381, 'f': 0.4801936717680065}","{'r': 0.28818001049277836, 'p': 0.3021875444077449, 'f': 0.28337344997012026}","{'r': 0.4384590213039816, 'p': 0.46847220871229234, 'f': 0.42792687711896055}",0.7426105737686157,0.7426105737686157,-0.6544819474220276,-10.165919303894043,2,n-1,q,qwen,medical,zh
"{'r': 0.14992527584569773, 'p': 0.24614946095539403, 'f': 0.17023923277534353}","{'r': 0.036264817033158495, 'p': 0.061769357279687444, 'f': 0.04009116426617319}","{'r': 0.11295103556129026, 'p': 0.2111908716009643, 'f': 0.13139984816286018}",0.5775684118270874,0.5775684118270874,-0.9054118394851685,-14.071269035339355,2,0,q,qwen,medical,zh
"{'r': 0.5027474197349466, 'p': 0.5157435281186651, 'f': 0.4983174208594029}","{'r': 0.2388561014460911, 'p': 0.24094303509128265, 'f': 0.23674794795047713}","{'r': 0.3481023813354347, 'p': 0.3593674983118268, 'f': 0.3428037506309909}",0.7883254885673523,0.7883254885673523,-0.619960606098175,-9.649150848388672,2,n-1,a,qwen,medical,zh
"{'r': 0.43908013529801443, 'p': 0.4329302158470837, 'f': 0.4234357221757224}","{'r': 0.17900218930430542, 'p': 0.16719567630743476, 'f': 0.16915079341889613}","{'r': 0.2920418922979436, 'p': 0.274675127206271, 'f': 0.2703985636693122}",0.7394638657569885,0.7394638657569885,-0.69658362865448,-10.839985847473145,2,0,a,qwen,medical,zh
"{'r': 0.5399609719004689, 'p': 0.5614803150053221, 'f': 0.5256212348706165}","{'r': 0.37541317947051156, 'p': 0.380882322554893, 'f': 0.36332285924010665}","{'r': 0.49640843783886324, 'p': 0.5197817886301244, 'f': 0.4817462508006964}",0.7597157955169678,0.7597157955169678,-0.5968543887138367,-9.273927688598633,3,n-1,q,qwen,medical,zh
"{'r': 0.12180345360507325, 'p': 0.22608435302555993, 'f': 0.1455192748016898}","{'r': 0.026073117580079415, 'p': 0.05140942884354346, 'f': 0.030512712611297323}","{'r': 0.09151652867496031, 'p': 0.1961704207346354, 'f': 0.11280489252848873}",0.5544092655181885,0.5544092655181885,-0.9308581352233887,-14.460198402404785,3,0,q,qwen,medical,zh
