rouge1,rouge2,rougeL,rougeLsum,dot,cosine,euclidean,manhattan,loop,refer,mode,model_name,task,language
0.19037446232511449,0.08104026186406788,0.18808091787439613,0.18885358397641006,0.7883225679397583,0.7883225679397583,-0.6247701048851013,-9.719640731811523,1,n-1,q,glm,legal,zh
0.19037446232511449,0.08104026186406788,0.18808091787439613,0.18885358397641006,0.7883225679397583,0.7883225679397583,-0.6247701048851013,-9.719640731811523,1,0,q,glm,legal,zh
0.6719450718376456,0.5821936392944874,0.6644499226123888,0.6707512306986594,0.8150981664657593,0.8150981664657593,-0.5900288224220276,-9.174001693725586,1,n-1,a,glm,legal,zh
0.6719450718376456,0.5821936392944874,0.6644499226123888,0.6707512306986594,0.8150981664657593,0.8150981664657593,-0.5900288224220276,-9.174001693725586,1,0,a,glm,legal,zh
0.20359432267079325,0.10902380952380952,0.20376945864592924,0.20317892695539755,0.8717536330223083,0.8717536330223083,-0.47638800740242004,-7.411776542663574,2,n-1,q,glm,legal,zh
0.17112434500282325,0.07283079242141027,0.1697478279691323,0.16898152644456987,0.7456727623939514,0.7456727623939514,-0.6894909739494324,-10.736712455749512,2,0,q,glm,legal,zh
0.7028342102129831,0.6156444988946276,0.6960160403100888,0.7025560688098106,0.8340563774108887,0.8340563178062439,-0.5573174357414246,-8.671859741210938,2,n-1,a,glm,legal,zh
0.6591933364446783,0.5581120240682699,0.6514376168756693,0.658364723967418,0.803825855255127,0.803825855255127,-0.6074410676956177,-9.448456764221191,2,0,a,glm,legal,zh
0.21133333333333335,0.11715714285714285,0.21133333333333337,0.21133333333333335,0.8966779708862305,0.8966779708862305,-0.4237329363822937,-6.5848212242126465,3,n-1,q,glm,legal,zh
0.1661968360624882,0.07135237855490309,0.16374878787878788,0.16364225202333896,0.7252098321914673,0.7252098917961121,-0.7190443277359009,-11.190845489501953,3,0,q,glm,legal,zh
0.72636950114453,0.6379646188051916,0.7183440386829585,0.7262662258264996,0.8444935083389282,0.8444935083389282,-0.5381344556808472,-8.381077766418457,3,n-1,a,glm,legal,zh
0.6537054772796009,0.5493065609714801,0.6444885378054052,0.6526634884581187,0.7982910871505737,0.7982910871505737,-0.6190997958183289,-9.633173942565918,3,0,a,glm,legal,zh
0.21333333333333332,0.11880000000000002,0.21288888888888885,0.21333333333333332,0.9087039828300476,0.9087039828300476,-0.39603370428085327,-6.161795139312744,4,n-1,q,glm,legal,zh
0.16212770374552982,0.07179547477857805,0.16074525597590816,0.15997461038961042,0.7184743285179138,0.7184743285179138,-0.7294406890869141,-11.355620384216309,4,0,q,glm,legal,zh
0.7340584959270566,0.6401018457100768,0.7311735082286486,0.733505858425463,0.848951518535614,0.848951518535614,-0.5300903916358948,-8.251574516296387,4,n-1,a,glm,legal,zh
0.6509758162268381,0.5472158821530508,0.6428444800098776,0.6481324663568979,0.80032879114151,0.80032879114151,-0.6165795922279358,-9.585348129272461,4,0,a,glm,legal,zh
