rouge1,rouge2,rougeL,rougeLsum,dot,cosine,euclidean,manhattan,loop,refer,mode,model_name,task,language
0.16360000000000002,0.042666666666666665,0.16369999999999998,0.1636,0.7862629294395447,0.7862629294395447,-0.6229432225227356,-9.684612274169922,1,n-1,q,gpt-4o-mini,financial,zh
0.16360000000000002,0.042666666666666665,0.16369999999999998,0.1636,0.7862629294395447,0.7862629294395447,-0.6229432225227356,-9.684612274169922,1,0,q,gpt-4o-mini,financial,zh
0.5138885548757599,0.36677019568582314,0.4947444348594905,0.5091756472949063,0.8130092620849609,0.8130092620849609,-0.5889264941215515,-9.159573554992676,1,n-1,a,gpt-4o-mini,financial,zh
0.5138885548757599,0.36677019568582314,0.4947444348594905,0.5091756472949063,0.8130092620849609,0.8130092620849609,-0.5889264941215515,-9.159573554992676,1,0,a,gpt-4o-mini,financial,zh
0.15833333333333333,0.038,0.15793809523809527,0.1578095238095238,0.9353705048561096,0.9353705644607544,-0.2581358551979065,-4.009642124176025,2,n-1,q,gpt-4o-mini,financial,zh
0.12617142857142855,0.028666666666666663,0.1261333333333333,0.12608571428571425,0.76856529712677,0.7685653567314148,-0.6482452750205994,-10.073796272277832,2,0,q,gpt-4o-mini,financial,zh
0.7310581401312595,0.6222506321415133,0.719620348142526,0.7273138493230803,0.8899075984954834,0.8899075984954834,-0.390299528837204,-6.079504013061523,2,n-1,a,gpt-4o-mini,financial,zh
0.4864935255681271,0.3452985172626172,0.4714900613405623,0.48395406353225023,0.7938193678855896,0.7938193678855896,-0.6153116822242737,-9.572815895080566,2,0,a,gpt-4o-mini,financial,zh
0.14254761904761903,0.0376,0.14247142857142853,0.1429238095238095,0.9606290459632874,0.9606290459632874,-0.16803227365016937,-2.609957695007324,3,n-1,q,gpt-4o-mini,financial,zh
0.1152666666666666,0.02733333333333333,0.11516666666666664,0.11519999999999996,0.7615871429443359,0.7615871429443359,-0.6591739058494568,-10.238605499267578,3,0,q,gpt-4o-mini,financial,zh
0.8130469829674054,0.7358339555339513,0.8049281011068402,0.8119763934580494,0.9211022257804871,0.9211022257804871,-0.2808980941772461,-4.374965667724609,3,n-1,a,gpt-4o-mini,financial,zh
0.4762365731453664,0.33907676567306877,0.46260737355510245,0.4745327231838982,0.7859585285186768,0.7859587073326111,-0.6276547312736511,-9.773504257202148,3,0,a,gpt-4o-mini,financial,zh
0.1433333333333333,0.035,0.14266666666666666,0.1426666666666667,0.9699397683143616,0.9699397683143616,-0.12906181812286377,-2.0010170936584473,4,n-1,q,gpt-4o-mini,financial,zh
0.11486666666666663,0.025,0.11389999999999995,0.1139333333333333,0.760445773601532,0.760445773601532,-0.6600744128227234,-10.258476257324219,4,0,q,gpt-4o-mini,financial,zh
0.8608110040263053,0.7998128366838804,0.8553661780876648,0.8596793993627614,0.9430948495864868,0.9430948495864868,-0.2070353627204895,-3.2207164764404297,4,n-1,a,gpt-4o-mini,financial,zh
0.4739404420789315,0.3326903830660802,0.4593531248393877,0.4708695703543184,0.7842337489128113,0.7842336297035217,-0.6290624737739563,-9.790898323059082,4,0,a,gpt-4o-mini,financial,zh
