rouge1,rouge2,rougeL,rougeLsum,dot,cosine,euclidean,manhattan,loop,refer,mode,model_name,task,language
0.20695666567731782,0.0934578876232127,0.20645956422804243,0.206611075036075,0.844392716884613,0.844392716884613,-0.5249868035316467,-8.167459487915039,1,n-1,q,gpt-4o-mini,legal,zh
0.20695666567731782,0.0934578876232127,0.20645956422804243,0.206611075036075,0.844392716884613,0.844392716884613,-0.5249868035316467,-8.167459487915039,1,0,q,gpt-4o-mini,legal,zh
0.602851591783202,0.5175530847470942,0.5959976157657736,0.599882800363061,0.8297862410545349,0.8297862410545349,-0.5665310621261597,-8.810187339782715,1,n-1,a,gpt-4o-mini,legal,zh
0.602851591783202,0.5175530847470942,0.5959976157657736,0.599882800363061,0.8297862410545349,0.8297862410545349,-0.5665310621261597,-8.810187339782715,1,0,a,gpt-4o-mini,legal,zh
0.22438095238095238,0.11501758241758242,0.22443650793650793,0.22476190476190475,0.9160016775131226,0.9160016775131226,-0.3609327971935272,-5.607572555541992,2,n-1,q,gpt-4o-mini,legal,zh
0.19679714054061878,0.09100482792749046,0.19685862615645222,0.19670196192696188,0.814328134059906,0.814328134059906,-0.579226553440094,-9.00216007232666,2,0,q,gpt-4o-mini,legal,zh
0.6220354540434867,0.5380829904461253,0.6142828220673112,0.6201335947115438,0.8413892388343811,0.8413892388343811,-0.5477938055992126,-8.523979187011719,2,n-1,a,gpt-4o-mini,legal,zh
0.5992126468872939,0.5137865100326873,0.5949797764430858,0.5987991162577279,0.8186113834381104,0.8186113834381104,-0.5853467583656311,-9.110713958740234,2,0,a,gpt-4o-mini,legal,zh
0.22209902713773683,0.11310143572902193,0.2223143369175627,0.22172754736303124,0.9237472414970398,0.9237472414970398,-0.3373577296733856,-5.237086296081543,3,n-1,q,gpt-4o-mini,legal,zh
0.1917119298887181,0.08855349810788478,0.19137344880458482,0.19166810523900285,0.7981016635894775,0.7981016635894775,-0.6069422364234924,-9.444576263427734,3,0,q,gpt-4o-mini,legal,zh
0.6429458746608772,0.5590816677021611,0.6357154120878474,0.6415108409202734,0.8409907221794128,0.8409907221794128,-0.5501818656921387,-8.563338279724121,3,n-1,a,gpt-4o-mini,legal,zh
0.5982800349350361,0.516323917823059,0.5932624143983976,0.5978048611798781,0.8210241794586182,0.8210242390632629,-0.5819787383079529,-9.064299583435059,3,0,a,gpt-4o-mini,legal,zh
0.22085714285714286,0.11405714285714286,0.22142857142857145,0.2208253968253968,0.9283713698387146,0.9283713698387146,-0.3272911310195923,-5.0838236808776855,4,n-1,q,gpt-4o-mini,legal,zh
0.1909883853173474,0.0875283825153175,0.19075157333705717,0.19102584227366837,0.7895752191543579,0.7895752787590027,-0.621464192867279,-9.66357135772705,4,0,q,gpt-4o-mini,legal,zh
0.6596252305812086,0.5702780795331237,0.651726025871279,0.6576459400430308,0.8467874526977539,0.8467874526977539,-0.5395652651786804,-8.404125213623047,4,n-1,a,gpt-4o-mini,legal,zh
0.6050782143512852,0.5116988072336539,0.6003780257289697,0.60511067279737,0.8214957118034363,0.8214957118034363,-0.5800219178199768,-9.034942626953125,4,0,a,gpt-4o-mini,legal,zh
