rouge1,rouge2,rougeL,rougeLsum,dot,cosine,euclidean,manhattan,loop,refer,mode,model_name,task,language
0.2977439880299888,0.12430244891303463,0.2101079938365727,0.22678908653266988,0.763265073299408,0.763265073299408,-0.6688224077224731,-10.415403366088867,1,n-1,q,llama,medical,en
0.2977439880299888,0.12430244891303463,0.2101079938365727,0.22678908653266988,0.763265073299408,0.763265073299408,-0.6688224077224731,-10.415403366088867,1,0,q,llama,medical,en
0.2938454780926882,0.12715295005388658,0.1749717887042817,0.26493812467575506,0.6588828563690186,0.6588828563690186,-0.7854608297348022,-12.2125825881958,1,n-1,a,llama,medical,en
0.2938454780926882,0.12715295005388658,0.1749717887042817,0.26493812467575506,0.6588828563690186,0.6588828563690186,-0.7854608297348022,-12.2125825881958,1,0,a,llama,medical,en
0.4364596060729622,0.2628491034193785,0.3387322337171209,0.3883592619277825,0.7852414846420288,0.7852414846420288,-0.6092867851257324,-9.471440315246582,2,n-1,q,llama,medical,en
0.28618958714495035,0.0882049044328711,0.18821779134228123,0.2018544484634178,0.6667171716690063,0.6667171716690063,-0.7865977883338928,-12.230354309082031,2,0,q,llama,medical,en
0.35668998261908824,0.15753858925894626,0.21050985571655106,0.32379514369358275,0.6892018914222717,0.6892018914222717,-0.7444940805435181,-11.586824417114258,2,n-1,a,llama,medical,en
0.2946031399407008,0.11555848796484763,0.16839029965861854,0.2653345231150014,0.6505536437034607,0.6505536437034607,-0.7974951267242432,-12.40307903289795,2,0,a,llama,medical,en
0.5993226667291973,0.42136114649863743,0.5062146588168221,0.554855960338819,0.8677486777305603,0.8677486777305603,-0.45774534344673157,-7.102768421173096,3,n-1,q,llama,medical,en
0.2617250769180173,0.06970813272602612,0.17265234404389554,0.18087354893592844,0.6286815404891968,0.6286815404891968,-0.8317120671272278,-12.93211841583252,3,0,q,llama,medical,en
0.4324631085419241,0.2136683507074699,0.26626523909063304,0.4019641687291594,0.7646949887275696,0.7646950483322144,-0.6433373093605042,-10.013185501098633,3,n-1,a,llama,medical,en
0.2861576604238599,0.10571171785117946,0.1594820361692914,0.2582160324756825,0.6295377612113953,0.6295377612113953,-0.8232443928718567,-12.799311637878418,3,0,a,llama,medical,en
0.656491119368815,0.4928059717351074,0.5792257434185041,0.618274687713229,0.9093295335769653,0.9093295335769653,-0.3791399598121643,-5.888879776000977,4,n-1,q,llama,medical,en
0.24135332200423754,0.06014710890362007,0.1597371507964328,0.16643715836901452,0.6091172695159912,0.6091172695159912,-0.855730414390564,-13.296792984008789,4,0,q,llama,medical,en
0.4886966304298074,0.2535032503439766,0.30303714550684246,0.4575128648796138,0.8051339983940125,0.8051339983940125,-0.5838460922241211,-9.078434944152832,4,n-1,a,llama,medical,en
0.2845736324476801,0.10111749278444132,0.15608248676048225,0.25733910898576107,0.6222094893455505,0.6222094893455505,-0.8319919109344482,-12.937019348144531,4,0,a,llama,medical,en
