rouge1,rouge2,rougeL,rougeLsum,dot,cosine,euclidean,manhattan,loop,refer,mode,model_name,task,language
0.12102371312897625,0.029487179487179487,0.12177800269905531,0.1215289827131932,0.7398309111595154,0.7398309111595154,-0.6907575726509094,-10.72891616821289,1,n-1,q,qwen,financial,zh
0.12102371312897625,0.029487179487179487,0.12177800269905531,0.1215289827131932,0.7398309111595154,0.7398309111595154,-0.6907575726509094,-10.72891616821289,1,0,q,qwen,financial,zh
0.5021575343371621,0.3567877602856341,0.48299894071669747,0.4993016289515735,0.8018147349357605,0.8018147349357605,-0.6104326248168945,-9.49789047241211,1,n-1,a,qwen,financial,zh
0.5021575343371621,0.3567877602856341,0.48299894071669747,0.4993016289515735,0.8018147349357605,0.8018147349357605,-0.6104326248168945,-9.49789047241211,1,0,a,qwen,financial,zh
0.12301274973339749,0.023747333594532235,0.12393146664401725,0.12394963336258882,0.8590378761291504,0.8590379357337952,-0.42635267972946167,-6.626230716705322,2,n-1,q,qwen,financial,zh
0.08324769023149589,0.01720647773279352,0.08419106197446279,0.08373127097823455,0.7028862237930298,0.7028862237930298,-0.741650402545929,-11.519798278808594,2,0,q,qwen,financial,zh
0.6634606799629219,0.5008588509577143,0.6366739312653565,0.6607544175906683,0.8304890394210815,0.8304890394210815,-0.5640966296195984,-8.77668571472168,2,n-1,a,qwen,financial,zh
0.48839004308675904,0.3455365210123781,0.4706030421539025,0.48337879333539957,0.7714487910270691,0.7714487910270691,-0.6538469195365906,-10.172567367553711,2,0,a,qwen,financial,zh
0.1097953216374269,0.019847363767508956,0.10925115725625062,0.10876757650951199,0.8728798031806946,0.8728798031806946,-0.3756129741668701,-5.841277122497559,3,n-1,q,qwen,financial,zh
0.06827485380116959,0.01204935415461731,0.0687246963562753,0.06844354475933423,0.6845919489860535,0.6845919489860535,-0.7645753026008606,-11.877655029296875,3,0,q,qwen,financial,zh
0.6832416188781948,0.5125500965614631,0.6510975462168895,0.6801903252980452,0.8322902917861938,0.8322902321815491,-0.5587705373764038,-8.69388484954834,3,n-1,a,qwen,financial,zh
0.46606591563129524,0.3253859198393898,0.44889614023824387,0.4626551554385683,0.7583121657371521,0.7583121657371521,-0.6691617965698242,-10.410711288452148,3,0,a,qwen,financial,zh
0.08893737841106261,0.020152946468735944,0.08871391766128608,0.0885036016614964,0.8810428380966187,0.8810428977012634,-0.35312092304229736,-5.486599445343018,4,n-1,q,qwen,financial,zh
0.051821862348178135,0.009446693657219972,0.051551956815114715,0.05155195681511471,0.674609899520874,0.674609899520874,-0.7787166833877563,-12.09175968170166,4,0,q,qwen,financial,zh
0.7187024489022313,0.5525427130844947,0.6876872723691699,0.7159801555717014,0.8364779949188232,0.8364779949188232,-0.5559245944023132,-8.64837646484375,4,n-1,a,qwen,financial,zh
0.4584830685980935,0.3252546265422682,0.44410729400931964,0.4572293795620639,0.7427831888198853,0.74278324842453,-0.6915437579154968,-10.759615898132324,4,0,a,qwen,financial,zh
