rouge1,rouge2,rougeL,rougeLsum,dot,cosine,euclidean,manhattan,loop,refer,mode,model_name,task,language
0.34898165227037625,0.1120390391412204,0.2419671780124747,0.2757432603538922,0.7528830170631409,0.7528829574584961,-0.6729049682617188,-10.485194206237793,1,n-1,q,qwen,legal,en
0.34898165227037625,0.1120390391412204,0.2419671780124747,0.2757432603538922,0.7528830170631409,0.7528829574584961,-0.6729049682617188,-10.485194206237793,1,0,q,qwen,legal,en
0.5008570207439382,0.16960175188160406,0.2192033729748339,0.4412847770668956,0.722027599811554,0.722027599811554,-0.7198091745376587,-11.142740249633789,1,n-1,a,qwen,legal,en
0.5008570207439382,0.16960175188160406,0.2192033729748339,0.4412847770668956,0.722027599811554,0.722027599811554,-0.7198091745376587,-11.142740249633789,1,0,a,qwen,legal,en
0.5095799395488692,0.23430441720818726,0.4078097340792253,0.4263522458320702,0.8507937788963318,0.8507937788963318,-0.5109047889709473,-7.933950424194336,2,n-1,q,qwen,legal,en
0.322846298135531,0.09048833431513571,0.200934232571286,0.23749034191113444,0.7012382745742798,0.7012382745742798,-0.7405422329902649,-11.551801681518555,2,0,q,qwen,legal,en
0.5187961637383229,0.1936346628544696,0.24878825546531197,0.46236872244701993,0.7788187265396118,0.7788187265396118,-0.6458717584609985,-10.01950740814209,2,n-1,a,qwen,legal,en
0.4884716441320278,0.15174159448727842,0.2064092493920876,0.4266885630008446,0.6959625482559204,0.6959626078605652,-0.7536898851394653,-11.651352882385254,2,0,a,qwen,legal,en
0.5299077318496357,0.25824588242546465,0.4342435721493319,0.4482269121795985,0.8560253977775574,0.8560253977775574,-0.4892423450946808,-7.576252460479736,3,n-1,q,qwen,legal,en
0.2869632715533844,0.06611950992920466,0.1715697895858755,0.20599007010499004,0.683162271976471,0.6831623315811157,-0.7693113684654236,-11.980989456176758,3,0,q,qwen,legal,en
0.5372099242493761,0.20050508718007384,0.25472155580729305,0.4704228414076336,0.7877627611160278,0.7877627611160278,-0.6332427263259888,-9.849495887756348,3,n-1,a,qwen,legal,en
0.47364336735136026,0.144174734033506,0.19787657519199864,0.41411032903820955,0.6806727051734924,0.6806727647781372,-0.7742639780044556,-12.041830062866211,3,0,a,qwen,legal,en
0.5334737259750065,0.2651633572698429,0.45365199998096767,0.4649451582192491,0.8737950325012207,0.8737950325012207,-0.4621363878250122,-7.2204976081848145,4,n-1,q,qwen,legal,en
0.28320769730899287,0.062378036249521526,0.16450195574679877,0.19972542879548258,0.6744111180305481,0.6744111180305481,-0.7829936742782593,-12.214277267456055,4,0,q,qwen,legal,en
0.5311077133989014,0.19873815965075892,0.25230260574394914,0.4653620140367965,0.7905123233795166,0.7905123233795166,-0.6269329190254211,-9.76153564453125,4,n-1,a,qwen,legal,en
0.4636392491872412,0.1324874559158284,0.18863297330691509,0.4060554809821865,0.6750213503837585,0.6750213503837585,-0.7813912034034729,-12.116914749145508,4,0,a,qwen,legal,en
