rouge1,rouge2,rougeL,rougeLsum,dot,cosine,euclidean,manhattan,loop,refer,mode,model_name,task,language
0.1962113976222298,0.07396247928946642,0.1509030575614791,0.15092587113516998,0.5600062608718872,0.560006320476532,-0.9063647389411926,-14.099512100219727,1,n-1,q,qwen,medical,en
0.1962113976222298,0.07396247928946642,0.1509030575614791,0.15092587113516998,0.5600062608718872,0.560006320476532,-0.9063647389411926,-14.099512100219727,1,0,q,qwen,medical,en
0.3453082469173258,0.11274679862713519,0.1648423349479325,0.2979368325215796,0.6724225878715515,0.6724225878715515,-0.7781051993370056,-12.100336074829102,1,n-1,a,qwen,medical,en
0.3453082469173258,0.11274679862713519,0.1648423349479325,0.2979368325215796,0.6724225878715515,0.6724225878715515,-0.7781051993370056,-12.100336074829102,1,0,a,qwen,medical,en
0.4208287334163676,0.24767950630304927,0.3807391633389591,0.38344518379356385,0.7383994460105896,0.7383995652198792,-0.6719959378242493,-10.425202369689941,2,n-1,q,qwen,medical,en
0.14858719623838934,0.03638825688181459,0.10983414969771688,0.11197751801230355,0.4699573218822479,0.4699574410915375,-1.0068130493164062,-15.666102409362793,2,0,q,qwen,medical,en
0.48071724309075714,0.17051336839259687,0.22480358200343026,0.42947273783207307,0.7499241828918457,0.7499242424964905,-0.6711262464523315,-10.445596694946289,2,n-1,a,qwen,medical,en
0.29043857084426866,0.08021133845915364,0.13577502760633997,0.25216852304696985,0.5864270925521851,0.5864270925521851,-0.8756057024002075,-13.615665435791016,2,0,a,qwen,medical,en
0.4181518447928072,0.2568687957242366,0.37409012262090036,0.38008374803378436,0.7442119121551514,0.7442119717597961,-0.6496289968490601,-10.092092514038086,3,n-1,q,qwen,medical,en
0.13387375953684574,0.02470163733680191,0.09799478476340875,0.10120013327484777,0.421021431684494,0.421021431684494,-1.0567675828933716,-16.455184936523438,3,0,q,qwen,medical,en
0.4825101847155111,0.17499987871098266,0.2270044029001519,0.4374943928167936,0.751801609992981,0.7518017292022705,-0.6681667566299438,-10.401108741760254,3,n-1,a,qwen,medical,en
0.27017589984532675,0.06894065040231936,0.12385539602416663,0.23533322835648982,0.5363192558288574,0.5363192558288574,-0.9316920638084412,-14.494433403015137,3,0,a,qwen,medical,en
0.4300325445456291,0.27850392915999234,0.38990633586688034,0.39987117076520445,0.7422271966934204,0.7422271966934204,-0.643789529800415,-9.99631404876709,4,n-1,q,qwen,medical,en
0.12193793115728477,0.02112802625089489,0.0907431569135866,0.09364793828492374,0.3829532265663147,0.3829532265663147,-1.0918313264846802,-16.995019912719727,4,0,q,qwen,medical,en
0.4797359221363846,0.17593825389188794,0.22845723022362902,0.4370769783641635,0.7457700967788696,0.7457700967788696,-0.6724876165390015,-10.466340065002441,4,n-1,a,qwen,medical,en
0.25766734968691096,0.06131420717669183,0.11623413817942921,0.22510845343739225,0.4896602928638458,0.4896602928638458,-0.9786702394485474,-15.229127883911133,4,0,a,qwen,medical,en
